$1,2.00016e-02,2.00962e-02,2.00079e-02,3.35043e+00
b,3.40000e-03,5.19961e+00,3.40000e-03,5.19961e+00
$2,1.93370e+00,1.93370e+00,2.48954e-02,2.48954e-02
a,2.50000e-02,2.50000e-02,3.10000e-01,3.10000e-01
$3,3.77065e+00,6.37935e-02,3.77065e+00,6.37935e-02
out,8.00064e-03,8.03848e-03,8.00315e-03,1.34017e+00
