$1,7.03399e-03,7.20445e-03,7.25204e-03,1.35193e+00
b,1.30000e-03,4.23887e+00,1.30000e-03,4.23887e+00
$2,2.63438e+00,2.63438e+00,1.03412e-02,1.03412e-02
a,2.50000e-02,2.50000e-02,3.10000e-01,3.10000e-01
$3,2.49999e+00,7.07575e-02,2.49999e+00,7.07575e-02
out,2.81360e-03,2.88178e-03,2.90082e-03,5.40774e-01
